Time,User,Executable,CommandLine,PID,Parent PID,Privileges
20160606172959.388397+480,jinfeng-PC\jinfeng,C:\Program Files\Tencent\QQ\Bin\QQ.exe,"C:\Program Files\Tencent\QQ\Bin\QQ.exe",9576,8704,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173008.038892+480,jinfeng-PC\jinfeng,None,"C:\Program Files\Tencent\QQ\Bin\QQ.exe" /hosthwnd=657108 /hostname=QQ_IPC_{A250E211-C4FA-46E7-B9CE-4A5B959DEEF2} /memoryid=0 "C:\Program Files\Tencent\QQ\Bin\QQ.exe",6412,9576,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173009.342967+480,jinfeng-PC\jinfeng,C:\Program Files\Tencent\QQ\Bin\QQExternal.exe,"C:\Program Files\Tencent\QQ\Bin\QQExternal.exe" /Preload,2232,9576,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173009.414971+480,jinfeng-PC\jinfeng,None,"C:\Program Files\Tencent\QQ\Bin\TXPlatform.exe" -Embedding,6168,896,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173008.956945+480,jinfeng-PC\jinfeng,C:\Program Files\Tencent\QQ\Bin\QQApp.exe,"C:\Program Files\Tencent\QQ\Bin\QQApp.exe" app="C:\Program Files\Tencent\QQ\Misc\QQApp\com.tencent.banner.app"  destipc="GFRichControl_9576" sid=16777216 groupid=0,6256,9576,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173024.084810+480,jinfeng-PC\jinfeng,C:\Users\jinfeng\AppData\Roaming\360se6\Application\360se.exe,"C:\Users\jinfeng\AppData\Roaming\360se6\Application\360se.exe" https://ssl.ptlogin2.qq.com/jump?pt_clientver=5425&pt_src=1&keyindex=9&ptlang=2052&clientuin=94644276&clientkey=00015755421E006825ACA51F17889D3CDA1884B340F4490AF1F9E8606B3FEDAB6730ABB836593024CEA43CD09B85EA719AAA36D7271F06EE05971EE7EC5754EE1BA317B6A40088F36AB5FF6C9684750C5D9E4A5938263E07770735106D3D7B3DCBEFF3A363CD615B92288CFF0478A5D7&u1=http%3A%2F%2Fuser.qzone.qq.com%2F94644276%2Finfocenter,6524,6412,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173026.126927+480,jinfeng-PC\jinfeng,C:\Users\jinfeng\AppData\Roaming\360se6\Application\360se.exe,"C:\Users\jinfeng\AppData\Roaming\360se6\Application\360se.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --enable-delegated-renderer --num-raster-threads=2 --gpu-rasterization-msaa-sample-count=8 --content-image-texture-target=3553 --video-image-texture-target=3553 --disable-accelerated-video-decode --disable-webrtc-hw-encoding --disable-gpu-compositing --channel="6208.7.1800800645\933298411" /prefetch:673131151,4480,6208,

20160606173041.395136+480,jinfeng-PC\jinfeng,C:\Program Files\Kingsoft\WPS Office Professional\wtoolex\wpsupdate.exe,"C:\Program Files\Kingsoft\WPS Office Professional\wtoolex\wpsupdate.exe" /from:ksoend,7760,7332,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

20160606173048.444767+480,jinfeng-PC\jinfeng,C:\Python27\pythonw.exe,"C:\Python27\pythonw.exe" "C:\Python27\Lib\idlelib\idle.pyw" -e "C:\Users\jinfeng\Desktop\2.py",6972,2660,SeChangeNotifyPrivilege |SeImpersonatePrivilege |SeCreateGlobalPrivilege |

